part number,brand,model,benchmark,memory
HTS547575A9E384,Hitachi,Travelstar 5K750,37.9,750
,Toshiba,MK3265GSX H,37.9,320
WD3200LPCX,WD,"Blue 2.5""",37.9,320
HDP725025GLA380,Hitachi,Deskstar P7K500,37.8,250
,Toshiba,MK1059GSM,37.6,1024
,Hitachi,HUA721010KLA330,37.6,1024
,Hitachi,HDS721010KLA330,37.5,1024
,Seagate,ST9750423AS,37.5,750
,WD,WD2500AVJS-63B6A0,37.5,250
,Hitachi,HDP725050GLA,37.4,500
,WD,WD10TPVT-00H,37.4,1024
,Samsung,HN-M750MBB,37.4,750
,WD,WD5000ABYS-01TNA0,37.3,500
,Toshiba,MK6476GSXN,37.2,640
,Seagate,ST640LM001 HN-M640MBB,37.1,640
,Seagate,ST9320421AS,37.0,320
,Seagate,ST1000LM010-9YH146,37.0,1024
,WD,WD800ADFS-75SLR2,36.9,80
WD2500BEKT,WD,"Black 2.5""",36.9,250
,Hitachi,HTS54505,36.8,500
,Samsung,HM641JI,36.6,640
,WD,WD3200BJKT-00F4T0,36.6,320
,Seagate,ST9320423ASG,36.6,320
,Maxtor,ST3320630NS,36.6,324
,WD,WD5000AVVS-63H0B1,36.5,500
,Seagate,ST1000LM002-9VQ14L,36.4,1024
,,OCZ-AGILITY3,36.3,60
,Hitachi,Touro Mobile 3.0,36.3,1024
,WD,WD5000AACS-00ZUB0,36.2,500
,Seagate,ST9250421ASG,36.0,250
,WD,WD7500AACS-00D6B0,35.8,750
,Seagate,ST640LM000 HM641JI,35.7,640
,Hitachi,HDS721032CLA362,35.7,320
,Hitachi,HTS547564A9E384,35.7,640
,Seagate,ST9320423AS,35.7,320
,WD,WD5001ABYS-01YNA0,35.6,500
,Toshiba,MK3256GSY,35.6,320
HDP725032GLA360,Hitachi,Deskstar P7K500,35.6,320
,Seagate,ST3500830AS,35.6,500
,Hitachi,HDP725050GLAT80,35.5,500
,Seagate,ST9640320AS,35.4,640
,Seagate,ST9320421ASG,35.3,320
,Toshiba,MK6465GSX,35.3,640
,Toshiba,MK1059GSMP,35.1,1024
WD6400BPVT,WD,"Blue 2.5""",35.1,640
WD5000BPVT,WD,"Blue 2.5""",35.1,500
WD800AAJS,WD,Blue,35.1,80
,WD,WD1000FYPS-01ZKB0,35.1,1024
HDP725040GLA360,Hitachi,Deskstar P7K500,35.0,400
,Samsung,HD320KJ,34.9,320
,Seagate,ST3250820NS,34.9,250
,Samsung,HM321HI,34.9,320
,Toshiba,MK6465GSXN,34.8,640
,Maxtor,STM3250820AS,34.8,250
,Seagate,ST3360320AS,34.8,360
,,GB0500C4413,34.8,500
,Maxtor,STM3500630AS,34.7,500
,Seagate,ST3320620NS,34.7,320
,Samsung,HM501II,34.7,500
,Maxtor,STM3320820AS,34.7,320
,WD,WD1600BJKT-75F4T0,34.6,160
,WD,WD3201ABYS-01B9A0,34.6,320
,Maxtor,STM3320620AS,34.6,320
,Samsung,HM500JI,34.6,500
,Seagate,ST3750640AS,34.6,750
,Toshiba,MK1665GSX,34.5,160
,WD,WD1601ABYS-01C0A0,34.5,165
WD4000AAKS,WD,Blue,34.5,400
,WD,WD7500AYPS-01ZKB0,34.4,750
,Seagate,ST3250620NS,34.3,250
,Toshiba,MK3265GSX,34.3,320
,Seagate,ST3750840AS,34.3,750
,Seagate,ST3300620AS,34.2,300
,Seagate,ST3500630AS,34.2,500
ST320LT020,Seagate,"Momentus Thin 5400 2.5""",34.2,320
WD6400BEVT,WD,"Blue 2.5""",34.2,640
ST3320620AS,Seagate,Barracuda 7200.10,34.1,320
,Hitachi,HCC547550A9E380,34.0,500
HD501LJ,Samsung,Spinpoint T166,34.0,500
WD1600BPVT,WD,"Blue 2.5""",33.9,160
WD1600BEKT,WD,"Black 2.5""",33.9,160
,Excelstor,Technology V8160,33.9,165
,Toshiba,MK6475GS,33.8,640
,Hitachi,HTS547550A9E384,33.8,500
,Seagate,ST3250820AS,33.8,250
,Seagate,ST3320820AS,33.8,320
,WD,WD1600AVJS-63SWA0,33.8,160
,Seagate,ST3400620AS,33.7,400
,Maxtor,STM3320620AS,33.7,320
,Seagate,ST3400820AS,33.7,400
,Samsung,HM250HI,33.7,250
ST320LT012,Seagate,"Momentus Thin 5400.9 2.5""",33.7,320
,Seagate,ST320LM001 HN-M320MBB,33.6,320
,Maxtor,S TM3320820AS,33.6,320
,WD,WD5000AAVS-00ZTB0,33.5,500
,Seagate,ST9160411ASG,33.4,160
,Seagate,ST3250620AS,33.4,250
,Toshiba,MK6476GSX,33.3,640
,Hitachi,HTS723232L9SA60,33.3,320
,Hitachi,HCS545050GLA380,33.3,500
WD4000AAJS,WD,Blue,33.3,400
,Toshiba,MK5059GSXP,33.2,500
,Seagate,ST3500630NS,33.2,500
,Seagate,ST9640423AS,33.2,640
,Samsung,HD321KJ,33.2,320
,Seagate,ST9160412ASG,33.2,160
,Seagate,ST3750640NS,33.1,750
,Seagate,ST3400620NS,33.1,400
,Seagate,ST3300820SCE,33.1,300
,Samsung,HM400JI,33.0,400
,WD,WD5000KS-00MNB0,33.0,500
,Toshiba,MK3259GSXP,32.9,320
,Hitachi,HDT725050VLA380,32.9,500
,Hitachi,HTS545050B9A300,32.8,500
,Seagate,ST9160412AS,32.8,160
WD3200BPVT,WD,"Blue 2.5""",32.7,320
,Samsung,HM251HI,32.7,250
,Toshiba,MK6459GSXP,32.7,640
,Hitachi,HTS723232L9A360,32.6,320
,Fujitsu,MJA2500BH G2,32.6,500
,WD,WD3200AVVS-63L2B0,32.6,320
,WD,WD5000YS-18MPB1,32.5,500
,Samsung,HD753LI,32.5,750
,WD,WD740GD-00FLA2,32.4,74
,Hitachi,HCS5C3232SLA380,32.4,320
,Hitachi,HDT725032VLA360,32.3,320
,WD,WD1600AABS-00PRA0,32.1,160
,Seagate,ST3200820AS,32.0,200
,Hitachi,HTS545032B9SA02,32.0,320
,Hitachi,HTS54755,32.0,500
,Hitachi,HTS723225L9A362,32.0,250
,Samsung,HD401LJ,31.9,400
,Fujitsu,MJA2250BH G2,31.9,250
,Toshiba,MK6475GSX,31.8,640
,Maxtor,STM3250820A,31.8,250
,Hitachi,HDT725032VLA380,31.8,320
,Hitachi,HDT725050VLA360,31.7,500
,Maxtor,6V300F0,31.7,300
,Hitachi,HDT725040VLA360,31.7,400
,WD,WD3200AAVS-00ZTB0,31.6,320
,Hitachi,HUA721075KLA,31.6,750
,Maxtor,7V300F0,31.6,300
,Toshiba,MK5075GSX,31.5,500
WD5000BEVT,WD,"Blue 2.5""",31.5,500
,Maxtor,STM3160811AS,31.5,160
HDP725016GLA380,Hitachi,Deskstar P7K500,31.5,160
,Toshiba,MK3275GSX,31.4,320
,Toshiba,MK3276GSX,31.4,320
,WD,WD5000AAKB-00H8A0,31.4,500
ST9500325AS,Seagate,"Momentus 5400.6 2.5""",31.3,500
,Seagate,ST3320820SCE,31.2,320
,Hitachi,HTS545050B9SA00,31.1,500
,Samsung,HD160HJ,31.1,160
,Maxtor,STM3160815AS,31.1,160
,WD,WD2500AAJB-00J3A0,31.0,250
,Hitachi,HTS543216A7A384,31.0,160
,Hitachi,HTS545025B9A300,31.0,250
,Samsung,HD403LJ,31.0,400
,Hitachi,HDT725032VLA,30.9,320
,Hitachi,HTS543232A7A384,30.9,320
,Samsung,HD400LJ,30.9,400
,Maxtor,7H500F0,30.9,500
,Maxtor,STM3200820AS,30.8,200
,Seagate,ST3160811AS,30.8,160
,WD,WD3200AAJB-00J3A0,30.8,320
,Seagate,ST332082 0SCE,30.8,320
,Samsung,HD161HJ,30.8,160
,Seagate,ST9250315AS,30.7,250
,Samsung,HD081GJ,30.7,80
,Maxtor,6V320F0,30.5,320
,Hitachi,HTS545032A7E380,30.5,320
,Samsung,HD082GJ,30.5,80
,Hitachi,HTS723216L9A360,30.4,160
,Seagate,ST3250620A,30.4,250
,Toshiba,MK5055GSX,30.4,500
,Seagate,ST3808110AS,30.4,80
,Hitachi,HTS545050KTA300,30.4,500
,Seagate,ST3160815SV,30.4,160
,WD,WD5000AAJB-00YRA0,30.3,500
,Seagate,ST3250820A,30.3,250
,Seagate,ST3300822AS,30.3,300
,Toshiba,MK5065GSX,30.2,500
,Samsung,HM320II,30.2,320
,Seagate,ST3500830A,30.2,500
,Samsung,SP2504C,30.2,250
,Seagate,ST3160812AS,30.1,160
,Toshiba,MK5065GSXN,30.0,500
,Hitachi,HDS721616PLA380,30.0,160
,Maxtor,6V250F0,29.9,251
,Seagate,ST3160815AS,29.9,160
,Maxtor,6V080E0,29.9,82
,Hitachi,HDS721616PLA380,29.9,165
,Hitachi,HTS723216L9SA60,29.9,160
,Seagate,ST3802110AS,29.8,80
,Seagate,ST3160215AS,29.8,160
,Toshiba,MK5076GSXN,29.8,500
,Maxtor,STM3320820A,29.8,320
,WD,WD3200KS-00PFB0,29.8,320
,WD,WD1600AVBS-63SVA0,29.7,160
,Maxtor,STM3160211AS,29.7,160
,Maxtor,STM3160215AS,29.7,160
,Fujitsu,MHZ2160BJ FFS G2,29.6,160
,Seagate,ST3400832AS,29.6,400
,Seagate,ST380815AS,29.5,80
,Toshiba,MK5076GSX,29.5,500
,Seagate,ST3300622AS,29.5,300
,Fujitsu,MJA2320BH G2,29.4,320
,Seagate,ST3250823AS,29.4,250
,Maxtor,6V200E0,29.4,204
,Excelstor,Technology J8160S,29.4,160
,Toshiba,MK2576GSX,29.4,250
,Seagate,ST3500630A,29.4,500
,Hitachi,HDS721680PLA380,29.4,82
,Seagate,ST380215AS,29.4,80
,Maxtor,STM380215AS,29.3,80
,Hitachi,HDS721680PLA380,29.3,80
,Toshiba,MK5055GSXN,29.2,500
,WD,WD3200BMVS-11F9S0,29.2,320
,WD,WD3200YS-01PGB0,29.2,320
,Hitachi,HDT722525DLA380,29.2,250
,Hitachi,HTS723225L9A360,29.2,250
,Toshiba,MK2555GSX,29.1,250
,Hitachi,HTS545032B9A300,29.0,320
,Seagate,ST3160211AS,29.0,160
WD2500BEVT,WD,"Blue 2.5""",29.0,250
,WD,WD3200JD-22K,29.0,320
,Seagate,ST3400633AS,28.9,400
,WD,WD4000KD-00NAB0,28.8,400
,Hitachi,HDT725032VLAT80,28.8,320
WD3200BEVT,WD,"Blue 2.5""",28.7,320
,WD,WD2500YD-01NVB1,28.7,251
,Samsung,HD252KJ,28.7,250
,Seagate,ST3250824AS,28.6,250
,Maxtor,6V160E0,28.6,160
,Maxtor,7L250S0,28.6,250
,Hitachi,HTS545032B9SA00,28.6,320
,WD,WD1600YS-18SHB2,28.6,160
,WD,WD2500KS-00MJB0,28.5,250
,Seagate,ST3250624AS,28.4,250
,Maxtor,7L250S0,28.4,251
,Maxtor,6L160M0,28.3,160
,Maxtor,7L300S0,28.3,300
,Seagate,ST380811AS,28.3,80
,WD,WD3200JS-63PDB1,28.3,320
,Maxtor,6 L300S0,28.2,300
WD2500BPVT,WD,"Blue 2.5""",28.2,250
,Hitachi,HTS722020K9SA00,28.2,200
,Seagate,ST3300831AS,28.2,300
,Maxtor,6B200M0,28.1,204
,Seagate,ST9320325AS,28.1,320
,WD,WD4000YR-01PLB0,28.1,400
,Hitachi,HTS543225A7A384,28.1,250
,Seagate,ST3400832A,28.1,400
,WD,WD1600AAJB-00PVA0,28.0,160
,Seagate,ST3250823A,28.0,250
,Maxtor,6L200M0,27.9,200
,WD,WD1600YS-01SHB1,27.9,165
,Seagate,ST3200826AS,27.8,200
,WD,WD3200BEVS-16VAT0,27.8,320
,Maxtor,6L300S0,27.8,300
,WD,WD2500YS-01SHB1,27.7,251
,Seagate,ST3160815A,27.7,160
,Seagate,ST3160215SCE,27.7,160
,Hitachi,HTS54323,27.7,320
,Samsung,SP2514N,27.6,250
,Seagate,ST312081 2AS,27.6,120
,Maxtor,6Y120L0,27.6,120
,Seagate,ST380211AS,27.6,80
,WD,WD2000JS-00MHB0,27.5,200
ST9200420AS,Seagate,"Momentus 2.5""",27.4,200
,Seagate,ST3200827AS,27.3,200
,Seagate,ST925032 0AS,27.2,250
,Maxtor,6B250S0,27.2,251
,Maxtor,6L200M0,27.2,204
,WD,WD25 00JS-58NCB1,27.1,250
,Maxtor,6L250S0,27.0,251
,Seagate,ST9320320AS,27.0,320
,Hitachi,HDT725025VLA380,27.0,250
,Seagate,ST3200822AS,26.9,200
WD800BEVT,WD,"Blue 2.5""",26.8,80
,Maxtor,6L250M0,26.7,251
,Hitachi,HDS725050KLA360,26.7,500
,Hitachi,HDS721616PLAT80,26.7,160
,Samsung,SP1603C,26.7,160
,Hitachi,HDT722516DLA380,26.7,165
,WD,WD1600JS-75NCB1,26.7,160
,Maxtor,STM3160215A,26.6,160
,WD,WD3000JS-60PDB0,26.5,300
WD1600BEVT,WD,"Blue 2.5""",26.5,160
,Maxtor,6B160M0,26.5,164
,Seagate,ST3160215A,26.4,160
,Seagate,ST3160212AS,26.4,160
,Toshiba,MK3263GSX,26.4,320
,Maxtor,6Y160M0,26.3,160
,Toshiba,MK3263GS,26.3,320
,Seagate,ST9160310AS,26.1,160
,Maxtor,7Y250M0,26.1,251
,Maxtor,6L100P0,26.1,100
,Hitachi,HDT722525DLAT80,26.1,250
,WD,WD3200JB-00KFA0,26.0,320
,Hitachi,HTS545032B9A,26.0,320
,Seagate,ST3500841AS,25.9,500
,Maxtor,STM380215A,25.9,80
,Seagate,ST3500641AS,25.9,500
,WD,WD1600AABB-00PUA0,25.8,160
,Samsung,HD300LJ,25.7,300
,Toshiba,MK3252GSX,25.7,320
,Seagate,ST9250827AS,25.7,250
,Seagate,ST3802110A,25.6,80
,Samsung,HD160JJ/P,25.6,160
,Toshiba,MK4058GSX,25.5,400
,Samsung,SP1614C,25.4,160
,Samsung,SP1213C,25.4,120
,Toshiba,MK1652GSX,25.2,160
,Seagate,ST3160023AS,25.2,160
,Seagate,ST3120813AS,25.2,120
,Seagate,ST3120827AS,25.1,120
,Seagate,ST380215A,25.1,80
,Maxtor,6Y160M0,25.1,164
,Seagate,ST3120811AS,25.1,120
,Seagate,ST3160827AS,25.0,160
,Maxtor,6 Y080M0,25.0,82
,Fujitsu,MHZ2320BH G2,25.0,320
,Samsung,HD120IJ,25.0,120
,Seagate,ST3120213AS,24.9,120
,Hitachi,HDS725050KLAT80,24.9,500
,Samsung,HD160JJ,24.8,160
,Samsung,HM160HI,24.8,160
,WD,WD2500JD-00HBB0,24.8,250
,Seagate,ST9160827AS,24.7,160
,Maxtor,6Y120M0,24.7,123
,Maxtor,6L080M0,24.7,82
,Toshiba,MK1655GSX,24.7,160
,Maxtor,6 L200P0,24.7,204
,Maxtor,6L160P0,24.7,164
,Samsung,SP2004C,24.6,200
,Maxtor,6Y080M0,24.6,82
,Seagate,ST380819AS,24.6,80
,WD,WD3000JB-00KFA0,24.6,300
,Toshiba,MK1633GSG,24.5,160
,Seagate,ST9120823AS,24.5,120
,Hitachi,HDS722516VLSA80,24.5,165
,Seagate,ST380817AS,24.4,80
,Hitachi,HTS722016K9SA00,24.4,160
,Hitachi,HDS722580VLSA80,24.4,82
,Maxtor,6L080M0,24.4,80
,Seagate,ST380013AS,24.3,80
,Samsung,HD080HJ/P,24.3,80
,Seagate,ST9160823AS,24.3,160
,WD,WD2500BEVS-22UST0,24.3,250
,Samsung,SP0812C,24.2,80
,Hitachi,HTS543232L9SA00,24.2,320
,Seagate,ST3120026AS,24.2,120
,Hitachi,HDS722512VLSA80,24.1,124
,Maxtor,6L300R0,24.0,300
,Hitachi,HTS543232L9A300,24.0,320
,Samsung,HD080HJ,24.0,80
,Hitachi,HTS543225L9SA00,24.0,250
,Hitachi,HDT722516DLAT80,23.9,165
,WD,WD800JD-75MSA3,23.9,80
,WD,WD2000JD-00HBB0,23.9,200
,WD,WD2000JB-00GVA0,23.9,200
,Samsung,SP2014N,23.9,200
,Samsung,SP1604N,23.8,160
,Hitachi,HDS728080PLA380,23.8,82
,Samsung,SP1614N,23.8,160
,WD,WD400BD-22JMC0,23.7,40
,Seagate,ST340014AS,23.7,40
,WD,WD2500BB-98DWA0,23.6,250
,Hitachi,HTS543216L9A300,23.6,160
,Maxtor,7Y250P0,23.6,251
,,IC35L120AVV207-1,23.6,124
,Maxtor,6B200P0,23.5,204
,Fujitsu,MHZ2250BH G2,23.5,250
,Seagate,ST3120211AS,23.5,120
,Samsung,HM250JI,23.5,250
,Seagate,ST3120814A,23.5,120
,Toshiba,MK2552GSX,23.4,250
,Fujitsu,MHZ2160BH G2,23.4,160
,Hitachi,HDS724040KLSA80,23.4,400
,Hitachi,HTS543216L9SA00,23.3,160
,Samsung,HM160HC,23.3,160
,Samsung,SP1213N,23.2,120
,Excelstor,Technology J880,23.2,82
,Maxtor,6 Y160P0,23.2,164
,Seagate,ST980813AS,23.2,80
,WD,WD1200JD-00HBC0,23.1,120
,Hitachi,HDS728080PLA380,23.1,80
,Samsung,SP0812N,23.1,80
,WD,WD1600JD-22HBB0,23.1,160
,WD,WD1600JB-00GVC0,23.0,160
,WD,WD800BD-22MRA1,23.0,80
,Hitachi,HDS728040PLA320,22.9,40
,Maxtor,6L200R0,22.9,204
,Hitachi,HTS545016B9A300,22.9,160
,Hitachi,HTS543225L9A300,22.7,250
,Samsung,SP0842N,22.6,80
,Maxtor,6Y080P0,22.6,82
,Hitachi,HTS722012K9SA00,22.6,120
,WD,WD2500JB-00REA0,22.5,250
,Fujitsu,MHW2160BJ FFS G2,22.5,160
,Hitachi,HTS542525K9SA00,22.4,250
,Maxtor,6E040L0,22.4,41
,WD,WD1200JB-00EVA0,22.4,120
,Samsung,HD300LD,22.4,300
,Toshiba,MK2546GSX,22.3,250
,Samsung,SP0411C,22.3,40
,WD,WD800JB-00ETA0,22.2,80
,Toshiba,MK2546GSX_200,22.1,200
,WD,WD1600BEVS-22UST0,22.1,160
,Maxtor,6L160P0,22.0,160
,Maxtor,6Y120L0,21.9,123
,Fujitsu,MHZ2120B,21.7,120
,Seagate,ST3160023A,21.7,160
,WD,WD1200BB-00RDA0,21.7,120
,Hitachi,HTS542512K9SA00,21.4,120
,Samsung,SP0822N,21.3,80
,Hitachi,HTS543212L9A300,21.2,120
,WD,WD400JB-00FMA0,21.0,40
,WD,WD800JB-00JJC0,21.0,80
,Fujitsu,MHY2250BH,21.0,250
,Maxtor,6Y080L0,20.8,82
,Seagate,ST380023AS,20.5,80
,WD,WD1200BEVS-60UST0,20.5,120
,Samsung,SP0802N,20.4,80
,Hitachi,HTS721010G9SA00,20.4,100
,Samsung,SP0411N,20.2,40
,WD,WD400BB-60DGA0,20.1,40
,Hitachi,HDS728080PLAT20,20.0,82
,WD,WD1600BB-22GUC0,20.0,160
,Fujitsu,MHY2120BH,19.9,120
,Seagate,ST910021AS,19.9,100
,Maxtor,6Y060L0,19.9,61
,Seagate,ST3160021A,19.9,160
,WD,WD1600BEVE-00WZT0,19.7,160
,Seagate,ST3120022A,19.7,120
,WD,WD800BB-88JHC0,19.7,80
,Hitachi,HTS542516K9SA00,19.7,160
,Seagate,ST380011A,19.5,80
,Maxtor,6 Y120P0,19.4,123
,Seagate,ST340014A,19.3,40
,Fujitsu,MHY2160BH,19.2,160
,Toshiba,MK1646GSX,19.1,160
,Fujitsu,MHY2200BH,19.0,200
,WD,WD800BEVS-22RST0,18.5,80
,Fujitsu,MHW2120BH,18.4,120
,Toshiba,MK8037GSX,18.2,80
,Hitachi,HTS542580K9SA00,17.8,80
,Seagate,ST3120023A,17.7,120
,Seagate,ST9160821AS,17.6,160
,Toshiba,MK1637GSX,17.6,160
,Hitachi,HTS541616J9SA00,17.6,160
,Seagate,ST9120822AS,17.2,120
,Hitachi,HTS541680J9SA00,17.1,80
,WD,WD600BB-75CAA0,17.0,60
,Seagate,ST980811AS,17.0,80
,Seagate,ST340016A,16.8,40
,Fujitsu,MHW2080BH,16.7,80
,Hitachi,HDS722580VLAT20,16.6,61
,Seagate,ST360021A,16.6,60
,Fujitsu,MHV2120BH PL,16.5,120
,Hitachi,HTS541612J9SA00,16.3,120
,Toshiba,MK1237GSX,16.0,120
,Toshiba,MK2035GSS,16.0,200
,Fujitsu,MHV2100BH,15.7,100
,Seagate,ST98823AS,15.7,80
,Fujitsu,MHV2080BH PL,15.5,80
,Seagate,ST9100824AS,15.4,100
,Seagate,ST340015A,15.3,40
,Hitachi,HTS541010G9SA00,15.0,100
,Maxtor,4G120J6,14.9,123
,Toshiba,MK1234GSX,14.4,120
,Toshiba,MK8034GSX,13.5,80
,Toshiba,MK8032GSX,12.8,80
,Seagate,ST960821A,9.96,60
